,uri x,uri y
87,Meiji Biskuit Yan Yan Strawberry,Tango Wafer Cokelat
88,Tango Wafer Kraffel Original Sweet,Tango Wafer Cokelat
89,Loacker Wafer Quadratini Napolitaner,Loacker Wafer Quadratini Cappuccino
90,Loacker Wafer Quadratini Napolitaner,Indomaret Kacang Koro Original
91,Frisian Flag Kental Manis Putih,Frisian Flag Canister Susu Kental Manis Coklat
92,Forvita Margarine Gold,Forvita Margarine
93,Khong Guan Crackers Malkist Abon Sapi,Khong Guan Crackers Cream
94,Khong Guan Crackers Saltcheese Regular,Khong Guan Crackers Cream
95,Khong Guan Crackers Malkist Abon Sapi,Heavenly Blush Tummy Yogurt Bar Berries
96,Sedaap Mie Instant Ayam Bawang,Sedaap Mie Instant Ayam Spesial
97,Sedaap Mie Instant Baso Spesial,Sedaap Mie Instant Ayam Spesial
98,Indomie Mi Instan Ayam Bawang,Sedaap Mie Instant Ayam Spesial
99,Richeese Nabati Cheese Wafer,Sedaap Mie Instant Ayam Spesial
100,Sedaap Mie Instant Ayam Bawang,Sedaap Mie Instant Baso Spesial
101,Sedaap Mie Instant Kari Special,Sedaap Mie Instant Baso Spesial
102,Sedaap Mie Instant Baso,Sedaap Mie Instant Baso Spesial
103,Sedaap Mie Instant Ayam Bawang Telur,Sedaap Mie Instant Baso Spesial
104,Sedaap Mie Instant Ayam Spesial,Sedaap Mie Instant Baso Spesial
105,Nola Gluten Free Cookies Dark Chocolate,Nola Gluten Free Cookies Choco Chips
106,Lay S Snack Potato Chips Salmon Teriyaki,Chitato Snack Potato Chips Ayam Barbeque
107,Chitato Snack Potato Chips Sapi Bumbu Bakar,Chitato Snack Potato Chips Ayam Barbeque
108,Zona Kemplang Ikan,Zona Kerupuk Fish Ball Fish Ball Cracker Getes
109,Zona Telur Gabus Sweet Cookies,Zona Kerupuk Fish Ball Fish Ball Cracker Getes
110,Zona Kemplang Ikan,Krupuk Ubi Kayu
111,Aik Cheong Coffeemix Reguler,Krupuk Ubi Kayu
112,Oishi Snack Sponge Crunch Chocolate,Indomie Mi Rasa Kari Ayam
113,Kata Oma Snack Telur Gabus Balado Padang,Indomie Mi Rasa Kari Ayam
114,Abc Kopi Susu Coklat Mocca,Abc Kopi Instant Kopi Gula Susu
115,Sedaap Mie Instant Kari Special,Sedaap Mie Instant White Curry
116,Sedaap Mie Instant Kari Special,Sedaap Mie Instant Ayam Bawang Telur
117,Sedaap Mie Instant Baso Spesial,Sedaap Mie Instant Ayam Bawang Telur
118,Sedaap Mie Instant Ayam Spesial,Sedaap Mie Instant Ayam Bawang Telur
119,Kusuka Keripik Singkong Balado,Frestea Minuman Teh Aroma Melati
120,Indomilk Kental Manis Coklat,Buavita Juice Mini Guava
121,Adem Sari Ching Ku Herbal Tea,Kraft Sandwich Oreo Coklat Vanila
122,Kraft Sandwich Oreo Strawbery Creme,Kraft Sandwich Oreo Coklat Vanila
123,Arnott S Biscuit Nyam Nyam Fantasy Stick Choco,Kraft Sandwich Oreo Coklat Vanila
124,Kraft Sandwich Oreo Ice Cream Blueberry,Kraft Sandwich Oreo Coklat Vanila
125,Abc Kopi Instant Kopi Gula Susu,Kapal Api Fresco Kopi Krim Susu
126,Kapal Api Kopi Bubuk Special Mix,Kapal Api Fresco Kopi Krim Susu
127,Sido Muncul Jahe Susu,Kapal Api Fresco Kopi Krim Susu
128,Top Coffee Kopi Gula Susu 3 In 1,Kapal Api Fresco Kopi Krim Susu
